query_registered_timestamp,result_timestamp,result
1765975783904,1765975863915,3.9639792
1765975783904,1765975865051,3.9639792
1765975783904,1765975866052,3.9639792
1765975783904,1765975867053,3.9639792
1765975783904,1765975868053,3.9639792
1765975783904,1765975869054,3.9639792
1765975783904,1765975870055,3.9639792
1765975783904,1765975871055,3.9639792
1765975783904,1765975872063,3.9639792
1765975783904,1765975873061,3.9639792
1765975783904,1765975874060,3.9639792
1765975783904,1765975875061,3.9639792
1765975783904,1765975876061,3.9639792
1765975783904,1765975877062,3.9639792
1765975783904,1765975878064,3.9639792
1765975783904,1765975879065,3.9639792
1765975783904,1765975880066,3.9639792
1765975783904,1765975881067,3.9639792
1765975783904,1765975882068,3.9639792
1765975783904,1765975883068,3.9639792
1765975783904,1765975884068,3.9639792
1765975783904,1765975885068,3.9639792
1765975783904,1765975886069,3.9639792
1765975783904,1765975887068,3.9639792
1765975783904,1765975888070,3.9639792
1765975783904,1765975889070,3.9639792
1765975783904,1765975890072,3.9639792
1765975783904,1765975891072,3.9639792
1765975783904,1765975892073,3.9639792
1765975783904,1765975893074,3.9639792
1765975783904,1765975894075,3.9639792
1765975783904,1765975895075,3.9639792
1765975783904,1765975896078,3.9639792
1765975783904,1765975897076,3.9639792
1765975783904,1765975898076,3.9639792
1765975783904,1765975899076,3.9639792
1765975783904,1765975900076,3.9639792
1765975783904,1765975901076,3.9639792
1765975783904,1765975902076,3.9639792
1765975783904,1765975903077,3.9639792
1765975783904,1765975904076,3.9639792
1765975783904,1765975905076,3.9639792
1765975783904,1765975906077,3.9639792
1765975783904,1765975907078,3.9639792
1765975783904,1765975908078,3.9639792
1765975783904,1765975909079,3.9639792
1765975783904,1765975910078,3.9639792
1765975783904,1765975911079,3.9639792
1765975783904,1765975912080,3.9639792
1765975783904,1765975913080,3.9639792
1765975783904,1765975914080,3.9639792
1765975783904,1765975915080,3.9639792
1765975783904,1765975916082,3.9639792
1765975783904,1765975917082,3.9639792
1765975783904,1765975918082,3.9639792
1765975783904,1765975919084,3.9639792
1765975783904,1765975920085,3.9639792
1765975783904,1765975921086,3.9639792
1765975783904,1765975922087,3.9639792
1765975783904,1765975923087,3.9639792
1765975783904,1765975924091,3.9639792
1765975783904,1765975925090,3.9639792
1765975783904,1765975926090,3.9639792
1765975783904,1765975927091,3.9639792
1765975783904,1765975928092,3.9639792
1765975783904,1765975929092,3.9639792
1765975783904,1765975930093,3.9639792
1765975783904,1765975931094,3.9639792
1765975783904,1765975932097,3.9639792
1765975783904,1765975933100,3.9639792
1765975783904,1765975934099,3.9639792
1765975783904,1765975935099,3.9639792
1765975783904,1765975936101,3.9639792
1765975783904,1765975937101,3.9639792
1765975783904,1765975938102,3.9639792
1765975783904,1765975939104,3.9639792
1765975783904,1765975940104,3.9639792
1765975783904,1765975941105,3.9639792
1765975783904,1765975942106,3.9639792
1765975783904,1765975943107,3.9639792
1765975783904,1765975944108,3.9639792
1765975783904,1765975945108,3.9639792
1765975783904,1765975946110,3.9639792
1765975783904,1765975947110,3.9639792
1765975783904,1765975948113,3.9639792
1765975783904,1765975949113,3.9639792
1765975783904,1765975950113,3.9639792
1765975783904,1765975951115,3.9639792
1765975783904,1765975952116,3.9639792
1765975783904,1765975953116,3.9639792
1765975783904,1765975954119,3.9639792
1765975783904,1765975955118,3.9639792
1765975783904,1765975956120,3.9639792
1765975783904,1765975957120,3.9639792
1765975783904,1765975958123,3.9639792
1765975783904,1765975959122,3.9639792
1765975783904,1765975960123,3.9639792
1765975783904,1765975961125,3.9639792
1765975783904,1765975962126,3.9639792
1765975783904,1765975963127,3.9639792
1765975783904,1765975964128,3.9639792
1765975783904,1765975965128,3.9639792
1765975783904,1765975966129,3.9639792
1765975783904,1765975967130,3.9639792
1765975783904,1765975968133,3.9639792
1765975783904,1765975969133,3.9639792
1765975783904,1765975970133,3.9639792
1765975783904,1765975971134,3.9639792
1765975783904,1765975972136,3.9639792
1765975783904,1765975973138,3.9639792
1765975783904,1765975974138,3.9639792
1765975783904,1765975975143,3.9639792
1765975783904,1765975976140,3.9639792
1765975783904,1765975977140,3.9639792
1765975783904,1765975978148,3.9639792
1765975783904,1765975979154,3.9639792
1765975783904,1765975980151,3.9639792
1765975783904,1765975981152,3.9639792
1765975783904,1765975982148,3.9639792
1765975783904,1765975983147,3.9639792
1765975783904,1765975984152,0.9412997
1765975783904,1765975985159,0.9412997
1765975783904,1765975986158,0.9412997
