query_registered_timestamp,result_timestamp,result
1765902852736,1765902933948,-9
1765902852736,1765902994458,0.9412997
1765903029697,1765903110867,3.9639792
1765903029697,1765903171366,0.9412997
1765903206692,1765903287767,-9
1765903206692,1765903348251,0.9412997
1765903383427,1765903464650,-9
1765903383427,1765903524704,3.9639792
1765903560402,1765903641737,3.9639792
1765903560402,1765903702133,0.9412997
