query_registered_timestamp,result_timestamp,result
1765902853488,1765902934021,3.9639792
1765902853488,1765902934022,3.9639792
1765902853488,1765902994043,3.9639792
1765902853488,1765902994043,0.9412997
1765902853488,1765902994495,0.70442444
1765902853488,1765902994582,0.9412997
1765902853488,1765902994582,0.9412997
1765902853488,1765902994583,0.9412997
1765903030395,1765903110949,3.9639792
1765903030395,1765903110951,3.9639792
1765903030395,1765903170955,3.9639792
1765903030395,1765903170955,0.9412997
1765903030395,1765903171389,0.70442444
1765903030395,1765903171390,0.70442444
1765903030395,1765903171444,0.9412997
1765903030395,1765903171444,0.70442444
1765903207302,1765903287847,3.9639792
1765903207302,1765903287849,3.9639792
1765903207302,1765903347870,3.9639792
1765903207302,1765903347871,0.9412997
1765903207302,1765903348287,0.70442444
1765903207302,1765903348371,0.9412997
1765903207302,1765903348371,0.9412997
1765903207302,1765903348372,0.9412997
1765903384219,1765903464731,3.9639792
1765903384219,1765903464733,3.9639792
1765903384219,1765903524820,3.9639792
1765903384219,1765903524820,0.9412997
1765903384219,1765903525232,0.70442444
1765903384219,1765903525323,0.9412997
1765903384219,1765903525323,0.9412997
1765903384219,1765903525323,0.9412997
1765903561107,1765903641823,3.9639792
1765903561107,1765903641825,3.9639792
1765903561107,1765903701747,3.9639792
1765903561107,1765903701748,0.9412997
1765903561107,1765903702163,0.70442444
1765903561107,1765903702164,0.70442444
1765903561107,1765903702210,0.70442444
1765903561107,1765903702211,0.9412997
