window_number,query_registered_at,first_data_received_at,expected_window_close,last_chunk_received_at,interval_trigger_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,interval_wait_ms,computation_ms,result_value
1,1770214155813,1770214171395,1770214275813,1770214201577,1770214215848,1770214216163,-59650,-75232,14271,315,-22.181029275577558
2,1770214155813,1770214171395,1770214335813,1770214283316,1770214283316,1770214283332,-52481,-68063,0,16,-19.577441911150864
