timestamp,message
1770278421224,"fetching_query_registered"
1770278423914,"First data received at wall-clock time: 1770278423914"
1770278484225,"RStream result generated: -22.92468619246862 (count: 478) at timestamp: 1770278484225"
1770278484225,"Processing valid result: -22.92468619246862 with count: 478"
1770278484225,"Generated aggregation event for result: -22.92468619246862"
1770278484227,"RStream result generated: -22.887265135699373 (count: 479) at timestamp: 1770278484227"
1770278484227,"Filtered out result due to timing: -22.887265135699373"
1770278484228,"Successfully published result: -22.92468619246862, publish latency: 1ms"
1770278520743,"Process terminated, cleaning up..."
