window_number,query_registered_at,first_data_received_at,expected_window_close,last_chunk_received_at,interval_trigger_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,interval_wait_ms,computation_ms,result_value
1,1770215457062,1770215464498,1770215577062,1770215513566,1770215517102,1770215517530,-59532,-66968,3536,428,-22.99079766549296
2,1770215457062,1770215464498,1770215637062,1770215579226,1770215579214,1770215579228,-57834,-65270,-12,14,-22.9941764270754
