timestamp,message
1770223525062,"fetching_query_registered"
1770223528001,"First data received at wall-clock time: 1770223528001"
1770223588329,"RStream result generated: -23 (count: 478) at timestamp: 1770223588329"
1770223588329,"Processing valid result: -23 with count: 478"
1770223588330,"Generated aggregation event for result: -23"
1770223588331,"RStream result generated: -23 (count: 479) at timestamp: 1770223588331"
1770223588331,"Filtered out result due to timing: -23"
1770223588333,"Successfully published result: -23, publish latency: 1ms"
1770223611233,"Process terminated, cleaning up..."
