window_number,query_registered_at,first_data_received_at,expected_window_close,last_data_received_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,latency_from_last_data_ms,result_value
1,1770215009974,1770215047672,1770215129974,1770215077630,1770215077630,-52344,-90042,0,-22.477242476324967
2,1770215009974,1770215047672,1770215189974,1770215137685,1770215137685,-52289,-89987,0,-22.997267448595338
