window_number,query_registered_at,first_data_received_at,expected_window_close,last_chunk_received_at,interval_trigger_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,interval_wait_ms,computation_ms,result_value
7,1766066122567,1766066135551,1766066602567,1766066844325,1766066844325,1766066844335,241768,228784,0,10,115.2
25,1766064244241,1766064275754,1766065804241,1766066870840,1766066870837,1766066870843,1066602,1035089,-3,6,-13.56778723947807
18,1766064799124,1766064815625,1766065939124,1766066870837,1766066870837,1766066870851,931727,915226,0,14,-13.56778723947807
8,1766065955257,1766065985718,1766066495257,1766066872817,1766066872817,1766066872828,377571,347110,0,11,113.73333333333333
12,1766065799669,1766065831338,1766066579669,1766066881404,1766066881404,1766066881413,301744,270075,0,9,54.65024540847744
1,1766066842813,1766066844329,1766066962813,1766066885718,1766066902849,1766066903373,-59440,-60956,17131,524,110.4
8,1766066122567,1766066135551,1766066662567,1766066915519,1766066915519,1766066915524,252957,239973,0,5,115.0952380952381
9,1766065955257,1766065985718,1766066555257,1766066932851,1766066932851,1766066932856,377599,347138,0,5,114.57894736842105
26,1766064244241,1766064275754,1766065864241,1766066930610,1766066944318,1766066944323,1080082,1048569,13708,5,-12.42489023595474
19,1766064799124,1766064815625,1766065999124,1766066945711,1766066945711,1766066945720,946596,930095,0,9,-11.345007878575812
2,1766066842813,1766066844329,1766067022813,1766066964324,1766066964313,1766066964389,-58424,-59940,-11,76,115.8
13,1766065799669,1766065831338,1766066639669,1766066941155,1766066999743,1766066999759,360090,328421,58588,16,53.66473330908029
20,1766064799124,1766064815625,1766066059124,1766066960744,1766067019208,1766067019225,960101,943600,58464,17,-12.939347061008402
9,1766066122567,1766066135551,1766066722567,1766066964313,1766067022627,1766067022646,300079,287095,58314,19,119.375
10,1766065955257,1766065985718,1766066615257,1766066964313,1766067035339,1766067035356,420099,389638,71026,17,119.33333333333333
27,1766064244241,1766064275754,1766065924241,1766066960744,1766067064320,1766067064346,1140105,1108592,103576,26,-14.058988488953082
11,1766065955257,1766065985718,1766066675257,1766067146788,1766067146788,1766067146804,471547,441086,0,16,6
10,1766066122567,1766066135551,1766066782567,1766067146788,1766067146788,1766067146805,364238,351254,0,17,6
3,1766066842813,1766066844329,1766067082813,1766067146789,1766067146789,1766067146806,63993,62477,0,17,6
28,1766064244241,1766064275754,1766065984241,1766067146830,1766067146830,1766067146837,1162596,1131083,0,7,-15.34478567379679
21,1766064799124,1766064815625,1766066119124,1766067146830,1766067146830,1766067146838,1027714,1011213,0,8,-15.34478567379679
14,1766065799669,1766065831338,1766066699669,1766067146875,1766067146875,1766067146882,447213,415544,0,7,40.025872776315786
15,1766065799669,1766065831338,1766066759669,1766067211325,1766067211323,1766067211327,451658,419989,-2,4,39.4129513347509
12,1766065955257,1766065985718,1766066735257,1766067204299,1766067215343,1766067215351,480094,449633,11044,8,77.33333333333333
29,1766064244241,1766064275754,1766066044241,1766067215612,1766067215612,1766067215616,1171375,1139862,0,4,-11.180010186024314
22,1766064799124,1766064815625,1766066179124,1766067215612,1766067215612,1766067215618,1036494,1019993,0,6,-11.180010186024314
4,1766066842813,1766066844329,1766067142813,1766067215614,1766067215614,1766067215620,72807,71291,0,6,79.52631578947368
11,1766066122567,1766066135551,1766066842567,1766067215614,1766067215614,1766067215621,373054,360070,0,7,79.52631578947368
16,1766065799669,1766065831338,1766066819669,1766067273389,1766067273386,1766067273391,453722,422053,-3,5,57.6609187664458
13,1766065955257,1766065985718,1766066795257,1766067275579,1766067275579,1766067275585,480328,449867,0,6,116.26086956521739
30,1766064244241,1766064275754,1766066104241,1766067275620,1766067275620,1766067275626,1171385,1139872,0,6,-12.216853193158773
23,1766064799124,1766064815625,1766066239124,1766067275620,1766067275620,1766067275627,1036503,1020002,0,7,-12.216853193158773
5,1766066842813,1766066844329,1766067202813,1766067292919,1766067292919,1766067292927,90114,88598,0,8,115.6086956521739
12,1766066122567,1766066135551,1766066902567,1766067292919,1766067292919,1766067292927,390360,377376,0,8,115.6086956521739
14,1766065955257,1766065985718,1766066855257,1766067335677,1766067335677,1766067335682,480425,449964,0,5,113.47826086956522
31,1766064244241,1766064275754,1766066164241,1766067335686,1766067335686,1766067335690,1171449,1139936,0,4,-11.851214833229458
24,1766064799124,1766064815625,1766066299124,1766067335686,1766067335686,1766067335691,1036567,1020066,0,5,-11.851214833229458
6,1766066842813,1766066844329,1766067262813,1766067352977,1766067352978,1766067352983,90170,88654,1,5,113.70833333333333
13,1766066122567,1766066135551,1766066962567,1766067352977,1766067352977,1766067352987,390420,377436,0,10,113.70833333333333
17,1766065799669,1766065831338,1766066879669,1766067331372,1766067359751,1766067359758,480089,448420,28379,7,50.58425525833049
32,1766064244241,1766064275754,1766066224241,1766067400021,1766067400021,1766067400026,1175785,1144272,0,5,-11.24117393970301
15,1766065955257,1766065985718,1766066915257,1766067400020,1766067400020,1766067400028,484771,454310,0,8,115.21739130434783
25,1766064799124,1766064815625,1766066359124,1766067400020,1766067400021,1766067400030,1040906,1024405,1,9,-11.24117393970301
14,1766066122567,1766066135551,1766067022567,1766067414270,1766067414270,1766067414277,391710,378726,0,7,115.91304347826087
7,1766066842813,1766066844329,1766067322813,1766067414271,1766067414271,1766067414279,91466,89950,0,8,115.91304347826087
18,1766065799669,1766065831338,1766066939669,1766067421315,1766067421310,1766067421319,481650,449981,-5,9,56.51454221152769
1,1766067398569,1766067400021,1766067518569,1766067455746,1766067458605,1766067459071,-59498,-60950,2859,466,-11.69887144870466
33,1766064244241,1766064275754,1766066284241,1766067460048,1766067460048,1766067460055,1175814,1144301,0,7,-11.569103956947629
26,1766064799124,1766064815625,1766066419124,1766067460048,1766067460048,1766067460066,1040942,1024441,0,18,-11.569103956947629
