approach,window_number,last_data_arrival_time,result_available_time,first_event_latency_ms,result_value,timestamp
fetching_client_side,1,1765978134973,1765978135143,170,4.234195,1765978135143
approximation,1,1765978194708,1765978194860,152,4.234195,1765978194860
chunked_query,1,1765978194708,1765978194899,191,4.234195,1765978194899
fetching_client_side,2,1765978195208,1765978195209,1,1.926378,1765978195209
fetching_client_side,3,1765978195208,1765978195209,1,4.234195,1765978195209
approximation,2,1765978195460,1765978254860,59400,1.926378,1765978254860
