window_number,query_registered_at,first_data_received_at,expected_window_close,last_obs_received_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,latency_from_last_obs_ms,result_value
1,1770207276044,1770207277729,1770207396044,1770207337914,1770207338057,-57987,-59672,143,-22.931070794979078
2,1770207276044,1770207277729,1770207456044,1770207457916,1770207458093,2049,364,177,-22.930320338461538
