window_number,query_registered_at,first_data_received_at,expected_window_close,last_obs_received_at,result_emitted_at,latency_from_query_reg_ms,latency_from_data_start_ms,latency_from_last_obs_ms,result_value
1,1770205815627,1770205817306,1770205935627,1770205877490,1770205877634,-57993,-59672,144,-22.986433309623433
2,1770205815627,1770205817306,1770205995627,1770205937594,1770205937775,-57852,-59531,181,-22.989273199164344
3,1770205815627,1770205817306,1770206055627,1770205997657,1770205997662,-57965,-59644,5,-22.986840318881118
